City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Nishihara,JP,26.1842,127.7558,69.08,64,75,16.11,broken clouds
302,Kropotkin,RU,45.4375,40.5756,41.76,70,100,18.54,overcast clouds
303,Agirish,RU,61.9247,63.0231,11.73,82,55,8.05,broken clouds
304,Dongsheng,CN,39.8161,109.9776,18.66,58,0,8.55,clear sky
305,Taiyuan,CN,37.8694,112.5603,22.86,42,0,2.24,clear sky
306,Masuda,JP,34.6667,131.85,47.93,64,96,11.99,overcast clouds
307,Daru,PG,-9.0763,143.2092,77.2,90,82,8.95,light rain
308,Nelson Bay,AU,-32.7167,152.15,64.11,80,47,1.01,scattered clouds
309,Sterling,US,39.0062,-77.4286,48.31,44,1,1.01,clear sky
310,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,87,75,1.99,broken clouds
311,Ust-Omchug,RU,61.15,149.6333,-6.54,99,100,8.01,light snow
312,Inirida,CO,3.8653,-67.9239,85.28,74,64,1.61,broken clouds
313,Clonakilty,IE,51.6231,-8.8706,52.81,86,96,33.64,overcast clouds
314,Kollo,NE,13.3043,2.339,95.43,12,80,7.7,broken clouds
315,Montemor-O-Novo,PT,38.6481,-8.2145,69.21,61,5,4.32,clear sky
316,Bairiki,KI,1.3292,172.9752,81.55,71,100,17.72,overcast clouds
317,Vardo,NO,70.3705,31.1107,26.8,93,75,11.5,light snow
318,Biak,ID,-0.9131,122.8766,77.9,86,100,3.09,overcast clouds
319,Batagay-Alyta,RU,67.8006,130.4114,-27.42,99,99,2.48,overcast clouds
320,Provideniya,RU,64.3833,-173.3,-10.17,88,54,5.48,broken clouds
321,Chuguyevka,RU,44.1653,133.8633,8.35,89,100,14.09,light snow
322,Popondetta,PG,-8.7537,148.2534,72.84,93,100,3.2,overcast clouds
323,Sindor,RU,62.8629,51.8905,11.88,84,96,7.25,overcast clouds
324,Portland,US,45.5234,-122.6762,42.24,93,90,5.01,overcast clouds
325,Krasnoarmeyskiy,RU,47.0114,42.2072,32.59,61,85,16.75,overcast clouds
326,Ingolstadt,DE,48.7667,11.4333,39.54,86,75,1.14,broken clouds
327,Lalupon,NG,7.4667,4.0667,88.32,26,65,1.83,broken clouds
328,Hirara,JP,24.8,125.2833,69.87,75,100,29.59,overcast clouds
329,Sinnamary,GF,5.3833,-52.95,78.06,90,100,12.97,overcast clouds
330,Yakeshi,CN,49.2833,120.7333,1.36,94,100,5.06,overcast clouds
331,Shubarkuduk,KZ,49.1447,56.4872,17.56,66,12,14.07,few clouds
332,Sechura,PE,-5.5569,-80.8222,76.15,61,70,6.73,broken clouds
333,Batemans Bay,AU,-35.7167,150.1833,57.9,94,23,3.69,few clouds
334,Hearst,CA,49.6835,-83.6665,30.45,86,98,13.47,overcast clouds
335,Broome,US,42.2506,-75.833,43.63,49,1,5.99,clear sky
336,Zaysan,KZ,47.4667,84.8667,11.73,88,100,1.48,overcast clouds
337,Scarborough,GB,54.2797,-0.4044,55.08,91,51,1.99,broken clouds
338,Frankfort,ZA,-27.2667,28.4833,62.78,76,100,3.91,overcast clouds
339,Oksfjord,NO,70.2396,22.3479,32.18,95,100,3.83,light snow
340,Iseyin,NG,7.9667,3.6,91.72,18,26,3.38,scattered clouds
341,Djougou,BJ,9.7085,1.666,93.31,14,68,5.21,broken clouds
342,North Platte,US,41.1239,-100.7654,38.32,49,1,1.01,clear sky
343,Bozeman,US,45.6796,-111.0386,39.2,50,88,3.0,overcast clouds
344,Yumen,CN,40.2833,97.2,21.29,36,0,8.08,clear sky
